CNPJ;Período;Indicador;Registros;CST PIS;CFOP;Descrição CFOP;Âmbito CFOP;Classificação CFOP;Código Item;Descrição Item;Quantidade Registros;Valor Operação;Valor PIS;Valor Cofins
99999999000199;01/08/2026 a 31/08/2026;Receita de venda para serviço;A100/A170;01;5102;Venda de mercadoria adquirida ou recebida de terceiros, ou qualquer venda de mercadoria efetuada pelo MEI com exceção das saídas classificadas nos códigos 5.501, 5.502, 5.504 e 5.505.;Saída interna;VENDAS DE PRODUÇÃO PRÓPRIA OU DE TERCEIROS;ITEM008;ITEM OU SERVICO SINTETICO 008;1;1558,00;25,71;118,41
99999999000199;01/08/2026 a 31/08/2026;Receita de venda para serviço;A100/A170;01;5933;Prestação de serviço sujeita ao ISSQN.;Saída interna;OUTRAS SAÍDAS DE MERCADORIAS OU PRESTAÇÕES DE SERVIÇOS;ITEM007;ITEM OU SERVICO SINTETICO 007;1;592,00;9,77;44,99
99999999000199;01/08/2026 a 31/08/2026;Receita de venda para serviço;A100/A170;01;6102;Venda de mercadoria adquirida ou recebida de terceiros, ou qualquer venda de mercadoria efetuada pelo MEI com exceção das saídas classificadas nos códigos 6.501, 6.502, 6.504 e 6.505.;Saída interestadual;VENDAS DE PRODUÇÃO PRÓPRIA OU DE TERCEIROS;ITEM006;ITEM OU SERVICO SINTETICO 006;1;1364,00;22,51;103,66
99999999000199;01/08/2026 a 31/08/2026;Receita de venda para serviço;A100/A170;01;6933;Prestação de serviço sujeita ao ISSQN.;Saída interestadual;OUTRAS SAÍDAS DE MERCADORIAS OU PRESTAÇÕES DE SERVIÇOS;ITEM007;ITEM OU SERVICO SINTETICO 007;1;1033,00;17,04;78,51
99999999000199;01/08/2026 a 31/08/2026;Receita de venda para serviço;A100/A170;02;5933;Prestação de serviço sujeita ao ISSQN.;Saída interna;OUTRAS SAÍDAS DE MERCADORIAS OU PRESTAÇÕES DE SERVIÇOS;ITEM007;ITEM OU SERVICO SINTETICO 007;1;1036,00;17,09;78,74
99999999000199;01/08/2026 a 31/08/2026;Receita de venda para serviço;A100/A170;02;6102;Venda de mercadoria adquirida ou recebida de terceiros, ou qualquer venda de mercadoria efetuada pelo MEI com exceção das saídas classificadas nos códigos 6.501, 6.502, 6.504 e 6.505.;Saída interestadual;VENDAS DE PRODUÇÃO PRÓPRIA OU DE TERCEIROS;ITEM006;ITEM OU SERVICO SINTETICO 006;1;1808,00;29,83;137,41
99999999000199;01/08/2026 a 31/08/2026;Receita de venda para serviço;A100/A170;02;6933;Prestação de serviço sujeita ao ISSQN.;Saída interestadual;OUTRAS SAÍDAS DE MERCADORIAS OU PRESTAÇÕES DE SERVIÇOS;ITEM007;ITEM OU SERVICO SINTETICO 007;1;1477,00;24,37;112,25
99999999000199;01/08/2026 a 31/08/2026;Receita de venda para serviço;A100/A170;04;1102;Compra para comercialização.;Entrada interna;COMPRAS PARA INDUSTRIALIZAÇÃO, PRODUÇÃO RURAL, COMERCIALIZAÇÃO OU PRESTAÇÕES DE SERVIÇOS;ITEM006;ITEM OU SERVICO SINTETICO 006;1;624,00;0,00;0,00
99999999000199;01/08/2026 a 31/08/2026;Receita de venda para serviço;A100/A170;04;5933;Prestação de serviço sujeita ao ISSQN.;Saída interna;OUTRAS SAÍDAS DE MERCADORIAS OU PRESTAÇÕES DE SERVIÇOS;ITEM007;ITEM OU SERVICO SINTETICO 007;1;1480,00;0,00;0,00
99999999000199;01/08/2026 a 31/08/2026;Receita de venda para serviço;A100/A170;04;6102;Venda de mercadoria adquirida ou recebida de terceiros, ou qualquer venda de mercadoria efetuada pelo MEI com exceção das saídas classificadas nos códigos 6.501, 6.502, 6.504 e 6.505.;Saída interestadual;VENDAS DE PRODUÇÃO PRÓPRIA OU DE TERCEIROS;ITEM006;ITEM OU SERVICO SINTETICO 006;1;2252,00;0,00;0,00
99999999000199;01/08/2026 a 31/08/2026;Receita de venda para serviço;A100/A170;04;6933;Prestação de serviço sujeita ao ISSQN.;Saída interestadual;OUTRAS SAÍDAS DE MERCADORIAS OU PRESTAÇÕES DE SERVIÇOS;ITEM007;ITEM OU SERVICO SINTETICO 007;1;1921,00;0,00;0,00
99999999000199;01/08/2026 a 31/08/2026;Receita de venda para serviço;A100/A170;06;1102;Compra para comercialização.;Entrada interna;COMPRAS PARA INDUSTRIALIZAÇÃO, PRODUÇÃO RURAL, COMERCIALIZAÇÃO OU PRESTAÇÕES DE SERVIÇOS;ITEM006;ITEM OU SERVICO SINTETICO 006;1;1068,00;0,00;0,00
99999999000199;01/08/2026 a 31/08/2026;Receita de venda para serviço;A100/A170;06;2102;Compra para comercialização.;Entrada interestadual;COMPRAS PARA INDUSTRIALIZAÇÃO, PRODUÇÃO RURAL, COMERCIALIZAÇÃO OU PRESTAÇÕES DE SERVIÇOS;ITEM007;ITEM OU SERVICO SINTETICO 007;1;737,00;0,00;0,00
99999999000199;01/08/2026 a 31/08/2026;Receita de venda para serviço;A100/A170;06;6102;Venda de mercadoria adquirida ou recebida de terceiros, ou qualquer venda de mercadoria efetuada pelo MEI com exceção das saídas classificadas nos códigos 6.501, 6.502, 6.504 e 6.505.;Saída interestadual;VENDAS DE PRODUÇÃO PRÓPRIA OU DE TERCEIROS;ITEM006;ITEM OU SERVICO SINTETICO 006;1;296,00;0,00;0,00
99999999000199;01/08/2026 a 31/08/2026;Receita de venda para serviço;A100/A170;06;6102;Venda de mercadoria adquirida ou recebida de terceiros, ou qualquer venda de mercadoria efetuada pelo MEI com exceção das saídas classificadas nos códigos 6.501, 6.502, 6.504 e 6.505.;Saída interestadual;VENDAS DE PRODUÇÃO PRÓPRIA OU DE TERCEIROS;ITEM008;ITEM OU SERVICO SINTETICO 008;1;1593,00;0,00;0,00
99999999000199;01/08/2026 a 31/08/2026;Receita de venda para serviço;A100/A170;06;6933;Prestação de serviço sujeita ao ISSQN.;Saída interestadual;OUTRAS SAÍDAS DE MERCADORIAS OU PRESTAÇÕES DE SERVIÇOS;ITEM007;ITEM OU SERVICO SINTETICO 007;1;2365,00;0,00;0,00
99999999000199;01/08/2026 a 31/08/2026;Receita de venda para serviço;A100/A170;07;1102;Compra para comercialização.;Entrada interna;COMPRAS PARA INDUSTRIALIZAÇÃO, PRODUÇÃO RURAL, COMERCIALIZAÇÃO OU PRESTAÇÕES DE SERVIÇOS;ITEM006;ITEM OU SERVICO SINTETICO 006;1;1512,00;0,00;0,00
99999999000199;01/08/2026 a 31/08/2026;Receita de venda para serviço;A100/A170;07;2102;Compra para comercialização.;Entrada interestadual;COMPRAS PARA INDUSTRIALIZAÇÃO, PRODUÇÃO RURAL, COMERCIALIZAÇÃO OU PRESTAÇÕES DE SERVIÇOS;ITEM007;ITEM OU SERVICO SINTETICO 007;1;1181,00;0,00;0,00
99999999000199;01/08/2026 a 31/08/2026;Receita de venda para serviço;A100/A170;07;5102;Venda de mercadoria adquirida ou recebida de terceiros, ou qualquer venda de mercadoria efetuada pelo MEI com exceção das saídas classificadas nos códigos 5.501, 5.502, 5.504 e 5.505.;Saída interna;VENDAS DE PRODUÇÃO PRÓPRIA OU DE TERCEIROS;ITEM008;ITEM OU SERVICO SINTETICO 008;1;850,00;0,00;0,00
99999999000199;01/08/2026 a 31/08/2026;Receita de venda para serviço;A100/A170;07;6102;Venda de mercadoria adquirida ou recebida de terceiros, ou qualquer venda de mercadoria efetuada pelo MEI com exceção das saídas classificadas nos códigos 6.501, 6.502, 6.504 e 6.505.;Saída interestadual;VENDAS DE PRODUÇÃO PRÓPRIA OU DE TERCEIROS;ITEM006;ITEM OU SERVICO SINTETICO 006;1;740,00;0,00;0,00
99999999000199;01/08/2026 a 31/08/2026;Receita de venda para serviço;A100/A170;07;6933;Prestação de serviço sujeita ao ISSQN.;Saída interestadual;OUTRAS SAÍDAS DE MERCADORIAS OU PRESTAÇÕES DE SERVIÇOS;ITEM007;ITEM OU SERVICO SINTETICO 007;1;409,00;0,00;0,00
99999999000199;01/08/2026 a 31/08/2026;Receita de venda para serviço;A100/A170;08;1102;Compra para comercialização.;Entrada interna;COMPRAS PARA INDUSTRIALIZAÇÃO, PRODUÇÃO RURAL, COMERCIALIZAÇÃO OU PRESTAÇÕES DE SERVIÇOS;ITEM006;ITEM OU SERVICO SINTETICO 006;1;1956,00;0,00;0,00
99999999000199;01/08/2026 a 31/08/2026;Receita de venda para serviço;A100/A170;08;2102;Compra para comercialização.;Entrada interestadual;COMPRAS PARA INDUSTRIALIZAÇÃO, PRODUÇÃO RURAL, COMERCIALIZAÇÃO OU PRESTAÇÕES DE SERVIÇOS;ITEM007;ITEM OU SERVICO SINTETICO 007;1;1625,00;0,00;0,00
99999999000199;01/08/2026 a 31/08/2026;Receita de venda para serviço;A100/A170;08;5102;Venda de mercadoria adquirida ou recebida de terceiros, ou qualquer venda de mercadoria efetuada pelo MEI com exceção das saídas classificadas nos códigos 5.501, 5.502, 5.504 e 5.505.;Saída interna;VENDAS DE PRODUÇÃO PRÓPRIA OU DE TERCEIROS;ITEM008;ITEM OU SERVICO SINTETICO 008;1;1294,00;0,00;0,00
